date,start,high,low,volume,close
1998-10-21,51241,51624,48080,1191590,48846
1998-10-22,48846,49804,48367,832580,48750
1998-10-23,48750,50474,47888,879790,49038
1998-10-24,48846,49517,48080,346480,48367
1998-10-26,47888,48272,46643,428840,47122
1998-10-27,46931,47122,44440,708780,45494
1998-10-28,46260,47218,45302,527540,46835
1998-10-29,47410,50187,47218,1025620,48942
1998-10-30,50283,52581,50283,1729150,51719
1998-10-31,54305,57466,54114,6532440,57466
1998-11-02,58424,58807,56029,1471740,56604
1998-11-03,56604,57945,56029,855990,56029
1998-11-04,56029,57466,55167,821060,57466
1998-11-05,57945,58137,55934,1103330,57753
1998-11-06,56604,63117,56508,1574840,57466
1998-11-07,57370,59382,56700,352070,58041
1998-11-09,57849,59861,56987,700710,59861
1998-11-10,59382,59382,56796,1026580,56796
1998-11-11,56029,57466,55455,721810,56413
1998-11-12,57466,58520,57179,680900,57753
1998-11-13,57466,60339,56700,895540,58711
1998-11-14,59765,63021,59765,784260,62734
1998-11-16,63692,65128,61776,1036810,64745
1998-11-17,66948,66948,64745,924250,64841
1998-11-18,64841,65128,63308,847000,64075
1998-11-19,64170,66469,63404,927400,66469
1998-11-20,67044,69821,64362,1476350,68576
1998-11-21,68002,68864,66756,320150,67044
1998-11-23,66373,66373,65128,572760,65128
1998-11-24,66565,66565,64458,729010,65607
1998-11-25,65607,68002,64649,830150,67044
1998-11-26,67044,67906,65320,678740,65607
1998-11-27,64649,65511,63596,613180,64170
1998-11-28,64649,66086,64458,264480,65894
1998-11-30,66756,66756,63404,320470,63787
1998-12-01,62734,62734,58137,877940,59861
1998-12-02,60339,61297,58424,531220,61297
1998-12-03,63021,64649,61393,910940,63213
1998-12-04,64649,68480,62734,903490,67044
1998-12-05,68959,72695,68959,981450,70013
1998-12-07,69917,71258,68002,899300,70683
1998-12-08,70683,76621,68002,1065270,71833
1998-12-09,72886,76430,72886,746240,74706
1998-12-10,78537,83326,75759,1489150,83326
1998-12-11,72790,82368,72790,1420330,74514
1998-12-14,74227,74706,66086,1618427,71833
1998-12-15,70013,70779,67523,950615,68959
1998-12-16,68002,71833,67044,1033563,67044
1998-12-17,65128,70396,65128,746312,69342
1998-12-18,70013,71162,67523,634340,67523
1998-12-21,71928,75472,70396,720335,75472
1998-12-22,75472,76813,72311,659030,72790
1998-12-23,75664,76047,74131,496480,74706
1998-12-24,76143,77483,74419,941106,76621
1998-12-28,78537,78537,75185,537290,77292
1999-01-04,88837,88837,81205,666160,84630
1999-01-05,84630,85608,82477,643209,83651
